peak_id,mz,rt,intensity,homologue_id,within_series_id
940,164.07162,266.04,940,NA,NA
147,164.83604,52.92,147,NA,NA
1716,164.9272,43.98,1716,NA,NA
237,165.01925,301.14,237,NA,NA
684,165.07575,337.44,684,NA,NA
899,165.11211,283.08,899,NA,NA
82,166.08626,265.92,82,NA,NA
137,167.02097,173.1,137,NA,NA
660,167.08551,404.04,660,NA,NA
1663,167.92815,933.3599999999999,1663,NA,NA
300,169.05832,49.019999999999996,300,NA,NA
1265,169.09712,264.6,1265,NA,NA
820,169.12229,325.68,820,NA,NA
416,169.12231,355.14,416,NA,NA
189,170.09237,47.760000000000005,189,NA,NA
75,170.09237,50.58,75,NA,NA
924,170.83321,42.72,924,NA,NA
1021,170.83321,53.7,1021,NA,NA
320,170.87081,937.56,320,NA,NA
765,170.94416,45,765,NA,NA
1605,171.01211,284.88,1605,NA,NA
736,171.06625,342.3,736,NA,NA
252,171.10157,440.1,252,1,4
357,171.14919,368.88,357,NA,NA
358,171.14921,368.82,358,NA,NA
743,172.1332,368.52000000000004,743,NA,NA
742,172.13321,368.52000000000004,742,NA,NA
1097,172.13322,302.76,1097,NA,NA
1232,172.16957,423.78,1232,NA,NA
210,172.99134,276.96,210,5,1
349,174.18521,368.46,349,NA,NA
1467,174.8287,42.72,1467,NA,NA
311,174.95604,932.64,311,NA,NA
304,174.95605,42.72,304,NA,NA
317,175.09646,431.94,317,NA,NA
1606,175.09757,339.35999999999996,1606,6,1
67,175.1189,50.04,67,NA,NA
1083,175.14811,403.32000000000005,1083,NA,NA
1679,176.00953,49.32,1679,NA,NA
526,176.0706,353.82,526,NA,NA
1473,177.0246,47.28,1473,NA,NA
737,177.0546,399.96000000000004,737,NA,NA
863,177.0546,427.08000000000004,863,NA,NA
695,177.06097,44.76,695,NA,NA
257,177.10223,257.4,257,NA,NA
113,177.12733,475.74,113,NA,NA
944,177.12737,371.58,944,NA,NA
1582,178.0993,382.02,1582,NA,NA
1246,178.88039,58.32,1246,NA,NA
163,178.97772,42.059999999999995,163,NA,NA
1085,179.03494,329.34,1085,NA,NA
167,179.05603,50.64,167,NA,NA
1178,179.0574,298.86,1178,NA,NA
579,179.10666,362.52,579,NA,NA
552,179.14861,277.8,552,NA,NA
174,180.08659,50.58,174,NA,NA
1785,180.86196,42.9,1785,NA,NA
559,180.97302,44.46,559,NA,NA
1331,181.03669,260.4,1331,NA,NA
1228,181.05059,292.32,1228,NA,NA
173,181.07198,292.73999999999995,173,NA,NA
141,181.07201,277.38,141,NA,NA
751,181.0859,405.66,751,NA,NA
1197,181.10122,415.44,1197,NA,NA
473,181.12228,389.15999999999997,473,NA,NA
128,181.13903,49.98,128,NA,NA
871,181.15869,415.5,871,NA,NA
555,182.04577,252.36,555,NA,NA
142,182.08114,209.52,142,NA,NA
686,182.10229,59.04,686,NA,NA
374,182.98856,331.74,374,NA,NA
694,183.06518,416.64,694,NA,NA
458,183.07805,361.38,458,NA,NA
1591,183.1168,402.6,1591,NA,NA
640,183.17427,450.96,640,NA,NA
641,183.17428,451.2,641,NA,NA
1749,183.17539,439.62,1749,NA,NA
297,183.8483,58.5,297,NA,NA
68,185.0762,398.09999999999997,68,NA,NA
97,185.07622,368.09999999999997,97,NA,NA
1362,185.08179,335.76,1362,NA,NA
934,185.08181,361.92,934,3,2
779,185.09607,408,779,NA,NA
513,185.11721,351.18,513,NA,NA
798,185.11721,358.97999999999996,798,NA,NA
508,185.11721,446.22,508,NA,NA
507,185.11722,446.15999999999997,507,NA,NA
603,185.12844,277.86,603,NA,NA
1595,186.03829,49.32,1595,NA,NA
881,186.11246,90.78,881,NA,NA
980,186.11247,60.72,980,NA,NA
52,187.00693,313.32000000000005,52,5,2
524,187.04189,90.84,524,NA,NA
365,187.05767,58.199999999999996,365,NA,NA
366,187.05768,58.44,366,NA,NA
1334,187.05768,245.03999999999996,1334,NA,NA
236,187.12636,381.65999999999997,236,NA,NA
913,187.13286,375.71999999999997,913,NA,NA
1383,187.13392,419.82,1383,NA,NA
288,187.86095,48.9,288,NA,NA
542,188.06821,266.09999999999997,542,NA,NA
394,188.98628,263.46,394,NA,NA
879,189.07329,228.6,879,NA,NA
1172,189.07331,46.68,1172,NA,NA
956,189.07334,57.3,956,NA,NA
1022,189.11212,373.68,1022,7,1
1006,189.13457,57.36,1006,NA,NA
858,189.15975,47.82,858,NA,NA
1047,190.0863,369.53999999999996,1047,NA,NA
1046,190.08665,369.42,1046,NA,NA
1715,190.9201,46.02,1715,NA,NA
865,190.96374,91.32000000000001,865,NA,NA
352,191.04026,48.839999999999996,352,NA,NA
581,191.07665,44.76,581,NA,NA
1485,191.10772,381.36,1485,NA,NA
868,191.16418,402.36,868,4,2
566,191.17942,452.82,566,NA,NA
1343,191.86042,933.7800000000001,1343,NA,NA
1274,192.02440000000001,50.099999999999994,1274,NA,NA
1273,192.02444,49.86,1273,NA,NA
1193,192.13825,397.91999999999996,1193,NA,NA
592,192.13827,257.52,592,NA,NA
1702,192.99343,42.059999999999995,1702,NA,NA
1510,193.08695,405.54,1510,NA,NA
1266,193.09041,384,1266,NA,NA
657,193.09713,234.29999999999998,657,NA,NA
1779,193.09757,246.24,1779,NA,NA
628,193.14338,327.71999999999997,628,NA,NA
556,194.0458,327.18,556,NA,NA
1604,194.08224,416.88,1604,NA,NA
218,194.11752,237.78,218,NA,NA
330,194.15392,414.42,330,NA,NA
1223,195.05229,292.2,1223,NA,NA
73,195.08766,312.53999999999996,73,NA,NA
1058,195.10155,444.65999999999997,1058,NA,NA
1665,195.10257,406.02000000000004,1665,NA,NA
681,195.11279,284.15999999999997,681,NA,NA
199,195.12267,270.59999999999997,199,2,2
1561,195.13901,416.28,1561,NA,NA
172,195.81102,56.279999999999994,172,NA,NA
171,195.81112,46.38,171,NA,NA
1643,196.02509,342.24,1643,NA,NA
1475,196.05241,390,1475,NA,NA
730,196.13317,267.66,730,NA,NA
391,196.86501,46.02,391,NA,NA
1763,196.94385,41.82,1763,NA,NA
1443,196.96127,44.4,1443,NA,NA
949,197.07836,345.36,949,NA,NA
487,197.12845,308.4,487,NA,NA
488,197.12845,308.52000000000004,488,NA,NA
1471,197.15466,425.34000000000003,1471,NA,NA
148,197.80794,56.4,148,NA,NA
151,197.808,46.5,151,NA,NA
563,198.08505,53.22,563,NA,NA
96,198.0972,50.58,96,NA,NA
76,198.18525,415.62,76,NA,NA
438,199.00703,329.94,438,NA,NA
1392,199.03782,59.4,1392,NA,NA
1580,199.10766,255.89999999999998,1580,NA,NA
420,199.16924,427.73999999999995,420,NA,NA
445,199.16926,435.71999999999997,445,NA,NA
31,199.16927,459.6,31,NA,NA
1425,200.12811,229.26000000000002,1425,NA,NA
1126,200.16451,374.94,1126,NA,NA
226,200.20089,445.56,226,NA,NA
845,200.85913,46.08,845,NA,NA
890,201.0227,340.14,890,5,3
1012,201.03687,373.32000000000005,1012,NA,NA
1256,201.04635,402.48,1256,NA,NA
1169,201.11322,383.16,1169,6,2
886,201.14851,407.58,886,NA,NA
767,201.14852,393.36,767,NA,NA
1381,201.88924,933.48,1381,NA,NA
629,202.0475,306.54,629,NA,NA
1327,202.11865,231.24,1327,NA,NA
626,202.18016,411.84,626,NA,NA
379,202.21654,401.22,379,NA,NA
1144,203.00193,310.79999999999995,1144,NA,NA
1130,203.00194,298.56,1130,NA,NA
535,203.00194,303.36,535,NA,NA
1034,203.00195,286.44,1034,NA,NA
916,203.02045,49.019999999999996,916,NA,NA
24,203.0525,49.919999999999995,24,NA,NA
464,203.05261,62.22,464,NA,NA
