CHROMATOGRAM
S:\raw data Q Exactive\@Experiments\DP00026-PhD Project\KU data\PCI-flowrate-IS-KU\Exp4\1uM\240815-PAN-001-Blank-1uM-05ulmin.raw
Data points: 117265
Time(min),ElutingPump_Pressure bar
0.097666667,353.49
0.097833333,353.5
0.098,353.51
0.098166667,353.53
0.098333333,353.54
0.0985,353.55
0.098666667,353.56
0.098833333,353.58
0.099,353.6
0.099166667,353.64
0.099333333,353.66
0.0995,353.68
0.099666667,353.7
0.099833333,353.71
0.1,353.72
0.100166667,353.73
0.100333333,353.76
0.1005,353.79
0.100666667,353.82
0.100833333,353.83
0.101,353.85
0.101166667,353.86
0.101333333,353.87
0.1015,353.88
0.101666667,353.91
0.101833333,353.95
0.102,353.99
0.102166667,354
0.102333333,354.01
0.1025,354.02
0.102666667,354.02
0.102833333,354.02
0.103,354.03
0.103166667,354.06
0.103333333,354.08
0.1035,354.1
0.103666667,354.1
0.103833333,354.1
0.104,354.1
0.104166667,354.1
0.104333333,354.09
0.1045,354.09
0.104666667,354.1
0.104833333,354.12
0.105,354.14
0.105166667,354.13
0.105333333,354.13
0.1055,354.13
0.105666667,354.13
0.105833333,354.12
0.106,354.12
0.106166667,354.13
0.106333333,354.14
0.1065,354.14
0.106666667,354.13
0.106833333,354.13
0.107,354.13
0.107166667,354.12
0.107333333,354.12
0.1075,354.13
0.107666667,354.14
0.107833333,354.16
0.108,354.17
0.108166667,354.17
0.108333333,354.17
0.1085,354.17
0.108666667,354.17
0.108833333,354.17
0.109,354.18
0.109166667,354.2
0.109333333,354.22
0.1095,354.22
0.109666667,354.22
0.109833333,354.22
0.11,354.21
0.110166667,354.2
0.110333333,354.2
0.1105,354.22
0.110666667,354.24
0.110833333,354.25
0.111,354.25
0.111166667,354.25
0.111333333,354.25
0.1115,354.25
0.111666667,354.25
0.111833333,354.27
0.112,354.29
0.112166667,354.32
0.112333333,354.32
0.1125,354.33
0.112666667,354.34
0.112833333,354.35
0.113,354.36
0.113166667,354.37
0.113333333,354.39
0.1135,354.42
0.113666667,354.45
0.113833333,354.45
0.114,354.46
0.114166667,354.47
0.114333333,354.48
0.1145,354.47
0.114666667,354.48
0.114833333,354.51
0.115,354.53
0.115166667,354.53
0.115333333,354.52
0.1155,354.52
0.115666667,354.51
0.115833333,354.5
0.116,354.49
0.116166667,354.5
0.116333333,354.51
0.1165,354.53
0.116666667,354.54
0.116833333,354.55
0.117,354.56
0.117166667,354.56
0.117333333,354.55
0.1175,354.54
0.117666667,354.55
0.117833333,354.56
0.118,354.58
0.118166667,354.57
0.118333333,354.57
0.1185,354.58
0.118666667,354.59
0.118833333,354.59
0.119,354.61
0.119166667,354.65
0.119333333,354.69
0.1195,354.7
0.119666667,354.7
0.119833333,354.71
0.12,354.72
0.120166667,354.72
0.120333333,354.73
0.1205,354.76
0.120666667,354.79
0.120833333,354.82
0.121,354.83
0.121166667,354.84
0.121333333,354.86
0.1215,354.88
0.121666667,354.89
0.121833333,354.9
0.122,354.92
0.122166667,354.95
0.122333333,354.97
0.1225,354.97
0.122666667,354.98
0.122833333,354.99
0.123,354.99
0.123166667,354.98
0.123333333,354.99
0.1235,355
0.123666667,355.01
0.123833333,355.01
0.124,354.99
0.124166667,354.99
0.124333333,354.98
0.1245,354.97
0.124666667,354.94
0.124833333,354.94
0.125,354.95
0.125166667,354.97
0.125333333,354.97
0.1255,354.96
0.125666667,354.95
0.125833333,354.93
0.126,354.91
0.126166667,354.89
0.126333333,354.9
0.1265,354.91
0.126666667,354.93
0.126833333,354.93
0.127,354.93
0.127166667,354.93
0.127333333,354.93
0.1275,354.92
0.127666667,354.92
0.127833333,354.94
0.128,354.96
0.128166667,354.97
0.128333333,354.96
0.1285,354.97
0.128666667,354.97
0.128833333,354.96
0.129,354.95
0.129166667,354.96
0.129333333,354.98
0.1295,355
0.129666667,355
0.129833333,354.99
0.13,354.99
0.130166667,354.98
0.130333333,354.97
0.1305,354.95
0.130666667,354.96
0.130833333,354.97
0.131,354.99
0.131166667,354.98
0.131333333,354.97
0.1315,354.96
0.131666667,354.95
0.131833333,354.93
0.132,354.92
0.132166667,354.93
0.132333333,354.94
0.1325,354.95
0.132666667,354.94
0.132833333,354.95
0.133,354.96
0.133166667,354.96
0.133333333,354.96
0.1335,354.97
0.133666667,354.98
0.133833333,354.99
0.134,354.99
0.134166667,354.98
0.134333333,354.98
0.1345,354.96
0.134666667,354.94
0.134833333,354.92
0.135,354.93
0.135166667,354.94
0.135333333,354.95
0.1355,354.95
0.135666667,354.94
0.135833333,354.93
0.136,354.92
0.136166667,354.9
0.136333333,354.89
0.1365,354.9
0.136666667,354.91
0.136833333,354.91
0.137,354.9
0.137166667,354.9
0.137333333,354.9
0.1375,354.89
0.137666667,354.87
0.137833333,354.87
0.138,354.88
0.138166667,354.9
0.138333333,354.91
0.1385,354.91
0.138666667,354.92
0.138833333,354.93
0.139,354.93
0.139166667,354.92
0.139333333,354.94
0.1395,354.96
0.139666667,354.99
0.139833333,355
0.14,355
0.140166667,355.01
0.140333333,355.01
0.1405,355
0.140666667,355
0.140833333,355.02
0.141,355.05
0.141166667,355.07
0.141333333,355.07
0.1415,355.08
0.141666667,355.1
0.141833333,355.1
0.142,355.09
0.142166667,355.1
0.142333333,355.11
0.1425,355.12
0.142666667,355.12
0.142833333,355.1
0.143,355.09
0.143166667,355.09
0.143333333,355.08
0.1435,355.07
0.143666667,355.07
0.143833333,355.08
0.144,355.1
0.144166667,355.1
0.144333333,355.1
0.1445,355.11
0.144666667,355.11
0.144833333,355.11
0.145,355.11
0.145166667,355.13
0.145333333,355.15
0.1455,355.16
0.145666667,355.15
0.145833333,355.16
0.146,355.16
0.146166667,355.16
0.146333333,355.16
0.1465,355.18
0.146666667,355.21
0.146833333,355.24
0.147,355.25
0.147166667,355.24
0.147333333,355.24
0.1475,355.24
0.147666667,355.23
0.147833333,355.22
0.148,355.23
0.148166667,355.25
0.148333333,355.27
0.1485,355.26
0.148666667,355.25
0.148833333,355.25
0.149,355.25
0.149166667,355.24
0.149333333,355.23
0.1495,355.24
0.149666667,355.25
0.149833333,355.25
0.15,355.24
0.150166667,355.24
0.150333333,355.24
0.1505,355.24
0.150666667,355.24
0.150833333,355.25
0.151,355.26
0.151166667,355.28
0.151333333,355.29
0.1515,355.29
0.151666667,355.29
0.151833333,355.29
0.152,355.29
0.152166667,355.29
0.152333333,355.31
0.1525,355.33
0.152666667,355.36
0.152833333,355.37
0.153,355.37
0.153166667,355.38
0.153333333,355.39
0.1535,355.39
0.153666667,355.39
0.153833333,355.43
0.154,355.46
0.154166667,355.48
0.154333333,355.48
0.1545,355.5
0.154666667,355.51
0.154833333,355.51
0.155,355.51
0.155166667,355.53
0.155333333,355.56
0.1555,355.59
0.155666667,355.61
0.155833333,355.61
0.156,355.61
0.156166667,355.6
0.156333333,355.58
0.1565,355.57
0.156666667,355.58
0.156833333,355.6
0.157,355.63
0.157166667,355.63
0.157333333,355.62
0.1575,355.62
0.157666667,355.62
0.157833333,355.61
0.158,355.6
0.158166667,355.6
0.158333333,355.61
0.1585,355.6
0.158666667,355.57
0.158833333,355.56
0.159,355.56
0.159166667,355.55
0.159333333,355.54
0.1595,355.55
0.159666667,355.56
0.159833333,355.57
0.16,355.57
0.160166667,355.56
0.160333333,355.56
0.1605,355.56
0.160666667,355.55
0.160833333,355.53
0.161,355.53
0.161166667,355.54
0.161333333,355.57
0.1615,355.58
0.161666667,355.58
0.161833333,355.58
0.162,355.57
0.162166667,355.55
0.162333333,355.54
0.1625,355.56
0.162666667,355.59
0.162833333,355.61
0.163,355.6
0.163166667,355.61
0.163333333,355.62
0.1635,355.62
0.163666667,355.61
0.163833333,355.62
0.164,355.64
0.164166667,355.66
0.164333333,355.67
0.1645,355.67
0.164666667,355.67
0.164833333,355.67
0.165,355.66
0.165166667,355.65
0.165333333,355.66
0.1655,355.68
0.165666667,355.71
0.165833333,355.72
0.166,355.71
0.166166667,355.71
0.166333333,355.7
0.1665,355.68
0.166666667,355.67
0.166833333,355.68
0.167,355.69
0.167166667,355.7
0.167333333,355.68
0.1675,355.67
0.167666667,355.67
0.167833333,355.66
0.168,355.64
0.168166667,355.63
0.168333333,355.63
0.1685,355.64
0.168666667,355.64
0.168833333,355.63
0.169,355.62
0.169166667,355.61
0.169333333,355.59
0.1695,355.57
0.169666667,355.57
0.169833333,355.57
0.17,355.58
0.170166667,355.58
0.170333333,355.58
0.1705,355.58
0.170666667,355.57
0.170833333,355.56
0.171,355.56
0.171166667,355.59
0.171333333,355.61
0.1715,355.61
0.171666667,355.59
0.171833333,355.58
0.172,355.57
0.172166667,355.56
0.172333333,355.55
0.1725,355.55
0.172666667,355.56
0.172833333,355.57
0.173,355.57
0.173166667,355.55
0.173333333,355.55
0.1735,355.54
0.173666667,355.53
0.173833333,355.52
0.174,355.53
0.174166667,355.55
0.174333333,355.58
0.1745,355.58
0.174666667,355.58
0.174833333,355.58
0.175,355.57
0.175166667,355.56
0.175333333,355.56
0.1755,355.58
0.175666667,355.6
0.175833333,355.6
0.176,355.57
0.176166667,355.56
